Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
800.0,30.0,0.005,0.002,0.0007,3e-05,9.575757575757576
1000.0,30.0,0.005,0.002,0.0007,3e-05,10.787878787878789
400.0,40.0,0.005,0.002,0.001,4e-05,32.0
500.0,25.0,0.002,0.002,0.001,4e-05,15.333333333333334
500.0,40.0,0.005,0.005,0.001,4e-05,32.0
600.0,35.0,0.005,0.005,0.001,4e-05,23.515151515151516
700.0,25.0,0.002,0.005,0.001,4e-05,18.96969696969697
700.0,35.0,0.001,0.002,0.001,3e-05,32.0
500.0,15.0,0.002,0.002,0.001,4e-05,15.333333333333334
600.0,40.0,0.001,0.001,0.001,3e-05,15.030303030303031
1000.0,35.0,0.002,0.002,0.0007,4e-05,10.484848484848484
700.0,15.0,0.001,0.001,0.0007,3e-05,10.787878787878789
700.0,30.0,0.001,0.002,0.001,3e-05,32.0
500.0,30.0,0.002,0.005,0.0007,3e-05,16.242424242424242
1000.0,35.0,0.001,0.005,0.0007,3e-05,9.878787878787879
700.0,25.0,0.005,0.002,0.0007,3e-05,10.787878787878789
800.0,25.0,0.005,0.005,0.0007,4e-05,9.575757575757576
400.0,30.0,0.002,0.002,0.0007,3e-05,13.515151515151516
1000.0,15.0,0.005,0.002,0.001,3e-05,10.181818181818182
800.0,40.0,0.002,0.001,0.0007,4e-05,11.393939393939394
400.0,20.0,0.001,0.005,0.0007,4e-05,14.121212121212121
800.0,20.0,0.005,0.005,0.0007,3e-05,9.575757575757576
800.0,25.0,0.002,0.001,0.0007,3e-05,11.696969696969697
1000.0,40.0,0.001,0.005,0.001,4e-05,25.03030303030303
600.0,25.0,0.002,0.005,0.001,4e-05,26.242424242424242
500.0,30.0,0.002,0.005,0.001,4e-05,15.030303030303031
600.0,25.0,0.002,0.005,0.0007,4e-05,32.0
